loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2017-11-24 14:42:05.751 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.674126,-0.401397705078125,0.379302978515625,-0.8293304443359375,139930.642052,-0.00107751497704606,-0.04887007126739006,0.04240285087624163
2017-11-24 14:42:05.771 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.707146,-0.41387939453125,0.3883819580078125,-0.8327484130859375,139930.675103,-0.01195999013943685,-0.05089860106970341,-0.002470880859375517
2017-11-24 14:42:05.805 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.740258,-0.41485595703125,0.3993377685546875,-0.8343658447265625,139930.708184,-0.04564924424504822,0.02133112138320768,-0.006109824172859788
2017-11-24 14:42:05.837 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.773278,-0.4029541015625,0.400299072265625,-0.8297119140625,139930.741234,0.0005406217012860853,0.04034369472139236,-0.0169089423931311
2017-11-24 14:42:05.872 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.806389,-0.4017791748046875,0.4066009521484375,-0.822479248046875,139930.774315,0.0438199188922728,0.01687778340837717,0.0008506136521713087
2017-11-24 14:42:05.904 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.839409,-0.397216796875,0.406036376953125,-0.8121185302734375,139930.807366,0.06191663113157923,0.01789484462867843,0.00331457029271262
2017-11-24 14:42:05.938 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.872521,-0.39825439453125,0.4063720703125,-0.805694580078125,139930.840447,0.02550695797245192,0.02538897993616141,0.01223136625451592
2017-11-24 14:42:05.970 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.905541,-0.4030914306640625,0.4056243896484375,-0.8080596923828125,139930.873497,0.01482421989181707,-0.001102548691292805,0.005588909863640289
2017-11-24 14:42:06.005 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.938622,-0.40423583984375,0.3990478515625,-0.8106231689453125,139930.906578,-0.0126910278586636,0.01276399847253177,-0.002330798586037349
2017-11-24 14:42:06.036 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511563324.987793,49.27910716444549,-122.9162301190077,347.4198,0.07574523,110.5086836761954,3,16,-9999,139930.971672,-0.407958984375,0.3989715576171875,-0.8101959228515625,139930.939598,-0.0205151288252074,0.02654026447540266,0.01989168281401985
