loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2017-11-24 14:46:48.455 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.39631625,0.399505615234375,0.0254058837890625,-0.9244384765625,140213.36524925,0.04073757624661508,0.09749726224336489,0.01694090032621205
2017-11-24 14:46:48.487 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.42936625,0.39434814453125,0.00762939453125,-0.91937255859375,140213.39833025,0.0264707559709516,0.07212905496370609,-0.0248611414081077
2017-11-24 14:46:48.521 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.46244725,0.403411865234375,-0.0066070556640625,-0.9216766357421875,140213.43138025,-0.004270378807942059,0.04994146097392893,-0.04143559076832485
2017-11-24 14:46:48.554 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.49549825,0.4071502685546875,-0.00775146484375,-0.91888427734375,140213.46446125,-0.02162300383868036,0.06162368341167052,-0.02364833784768562
2017-11-24 14:46:48.588 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.52857925,0.4083099365234375,-0.0006866455078125,-0.9168853759765625,140213.49748125,0.005398227529590616,0.05514261458285368,0.011931494315773
2017-11-24 14:46:48.620 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.56162925,0.4035491943359375,0.001983642578125,-0.9110260009765625,140213.53059325,0.02642628118074727,0.04022305352401177,0.02398283088059957
2017-11-24 14:46:48.654 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.59471025,0.39300537109375,0.0102386474609375,-0.89923095703125,140213.56361325,-0.007725297690101854,0.0286319111955509,0.02119663174815867
2017-11-24 14:46:48.686 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.62776125,0.4017333984375,0.01715087890625,-0.9055023193359375,140213.59672525,-0.0223705531566656,0.05202032452084478,0.01247424654593115
2017-11-24 14:46:48.720 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.66084225,0.4063262939453125,0.0091400146484375,-0.9201812744140625,140213.62974525,-0.0008093346552750805,0.06047479571741033,0.003321494511546826
2017-11-24 14:46:48.753 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.69386225,0.4129638671875,0.0045013427734375,-0.921112060546875,140213.66285625,-0.02302142972708097,0.06478192614839548,-0.005586779334768226
2017-11-24 14:46:48.786 -0800,11,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.72697425,0.396270751953125,0.0050506591796875,-0.9159393310546875,140213.69587625,-0.01879419412879819,0.02234658470685489,-0.01518268137454174
2017-11-24 14:46:48.822 -0800,12,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.7599825,0.4170989990234375,0.0159759521484375,-0.919464111328125,140213.72895725,-0.009226521596579522,0.07853262580480161,0.00214597520638585
2017-11-24 14:46:48.853 -0800,13,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.7930935,0.4087066650390625,0.0049285888671875,-0.9051666259765625,140213.7619965,0.0519367012626163,0.01585113480815162,-0.03303438279356088
2017-11-24 14:46:48.885 -0800,14,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.8261135,0.414947509765625,0.00897216796875,-0.910797119140625,140213.7950775,0.03779132113266042,0.05616207264813602,-0.007674164997172333
2017-11-24 14:46:48.919 -0800,15,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.8592255,0.411224365234375,0.0047760009765625,-0.8989105224609375,140213.8281275,0.007958324285483787,0.01168781507603075,-0.02215856553389529
2017-11-24 14:46:48.951 -0800,16,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.8922455,0.4120635986328125,-0.013824462890625,-0.900390625,140213.8612085,-0.003267166025309209,0.03402561135128838,-0.04251896469976908
2017-11-24 14:46:48.985 -0800,17,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.9253265,0.415679931640625,-0.008087158203125,-0.9082794189453125,140213.8942595,0.006548713120504847,0.03605653799858281,0.002335059643781476
2017-11-24 14:46:49.017 -0800,18,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.9583765,0.415496826171875,-0.003692626953125,-0.9064788818359375,140213.9273405,-0.019392606425739,0.02548165794209617,0.01671932532351746
2017-11-24 14:46:49.051 -0800,19,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140213.9914575,0.421234130859375,0.0037994384765625,-0.9137115478515625,140213.9603915,-0.01585539586589575,0.04671211183609884,0.005137237742762851
2017-11-24 14:46:49.083 -0800,20,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140214.0245085,0.41448974609375,0.014495849609375,-0.9107513427734375,140213.9934725,0.00386744253501307,0.01374670491477101,0.02456553052710891
2017-11-24 14:46:49.117 -0800,21,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140214.0575895,0.41448974609375,0.0061187744140625,-0.90875244140625,140214.0265225,-0.02205550119970923,0.01068273808063485,-0.01527109832273237
2017-11-24 14:46:49.149 -0800,22,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140214.0906405,0.4214935302734375,0.0003814697265625,-0.90252685546875,140214.0596035,0.001637045122071708,0.01488999997074203,-0.02545822212450347
2017-11-24 14:46:49.183 -0800,23,C4D50155-580C-4885-BACB-A13DEF47355A,1511563607.985769,49.27912729172672,-122.9162792905685,347.0102,0.0219581,145.3442125565804,3,16,-9999,140214.1237215,0.426177978515625,-0.007965087890625,-0.9107666015625,140214.0926235,0.03468474372108299,0.04663141805506944,-0.01519919297330023
2017-11-24 14:46:49.216 -0800,24,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.1567715,0.431884765625,0.0009002685546875,-0.9064178466796875,140214.1257355,0.01373711753484673,0.02223073719943644,0.01306972936567287
2017-11-24 14:46:49.249 -0800,25,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.1898525,0.4080352783203125,-0.0167694091796875,-0.88494873046875,140214.1587555,-0.01003399203909155,0.003254915484294845,-0.03208310165218458
2017-11-24 14:46:49.281 -0800,26,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.2229035,0.42877197265625,-0.0017852783203125,-0.90576171875,140214.1918665,-0.005398227529590616,0.04985357665795632,0.0170367741254549
2017-11-24 14:46:49.315 -0800,27,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.2559845,0.42974853515625,0.0033721923828125,-0.9085693359375,140214.2248865,-0.02146055101218552,0.05730856349741513,0.02207547490788482
2017-11-24 14:46:49.347 -0800,28,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.2890045,0.4232330322265625,-0.004547119140625,-0.905303955078125,140214.2579985,-0.01476270087063624,0.02443982932365717,-0.00234091859817965
2017-11-24 14:46:49.382 -0800,29,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.3221155,0.4177093505859375,0.0006561279296875,-0.9027252197265625,140214.2910185,-0.01177916150142047,0.04562714000800056,0.0147816093143758
2017-11-24 14:46:49.414 -0800,30,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.3551355,0.4190826416015625,-0.007781982421875,-0.9101409912109375,140214.3240995,0.01165612345905881,0.04769322038168404,0.01734676607634012
2017-11-24 14:46:49.448 -0800,31,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.3882475,0.41802978515625,-0.006805419921875,-0.9078216552734375,140214.3571505,-0.01098101212272372,0.04136155489002065,0.02754827094799766
2017-11-24 14:46:49.480 -0800,32,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.4212675,0.412750244140625,-0.00787353515625,-0.9012603759765625,140214.3902315,-0.02915602129807849,0.01382420290249232,0.02182833355872547
2017-11-24 14:46:49.514 -0800,33,C4D50155-580C-4885-BACB-A13DEF47355A,1511563608.985749,49.27912892817619,-122.9162828579396,347.0845,0.1019427,147.9630710089034,3,16,-9999,140214.4543795,0.4091949462890625,-0.0006256103515625,-0.8975830078125,140214.4232815,-0.04631103977593291,0.008552741840789474,0.02468910120168858
