loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z)
2017-11-27 14:36:02.463 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.4840034167,-0.436370849609375,-0.1803131103515625,-0.9664306640625,225873.4508924167,-0.3011217602424964,0.3094454702295391,-0.01332699072697452,225873.4639534167,1.791854766519646,-0.4798694657287444,0.1722249577529947,-0.2366474866867065,0.2083868831396103,-0.05104847997426987,0.0005608797073364258,-0.02164885401725769,-0.05415827035903931,XArbitraryCorrectedZVertical,0.2371015250682831,-0.08267166465520859,0.7427986860275269,0.6203916668891907,-0.4548150300979614,-0.1713748127222061,-0.8738965392112732,-29.86276054382324,-23.7849235534668,-47.015869140625,2
2017-11-27 14:36:02.494 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.5140634167,-0.429901123046875,-0.1805419921875,-0.941162109375,225873.4859874167,-0.09730498201266116,0.08627603299031601,-0.07603644491507035,225873.4989874167,1.787709874040589,-0.476676937032592,0.1694148236567651,-0.01725957356393337,0.11243586987257,-0.05679422616958618,0.01687845587730408,-0.01478978991508484,-0.06401973962783813,XArbitraryCorrectedZVertical,0.2349153310060501,-0.08324810862541199,0.7421867251396179,0.6218769550323486,-0.4522422552108765,-0.1686055809259415,-0.8757690787315369,-29.50651550292969,-23.75906562805176,-47.658935546875,2
2017-11-27 14:36:02.523 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.5441234167,-0.4221343994140625,-0.1778717041015625,-0.8725738525390625,225873.5210524167,0.162872008050412,0.001815210598998009,-0.03527197074144546,225873.5340834167,1.788805861220125,-0.475677836597831,0.1739428852920422,0.1970344483852386,0.006881541572511196,-0.02224406786262989,0.02622333168983459,0.005617126822471619,-0.02247756719589233,XArbitraryCorrectedZVertical,0.2359264194965363,-0.08107016980648041,0.7421647906303406,0.6218081116676331,-0.4510127305984497,-0.1730670779943466,-0.8755326867103577,-29.42414093017578,-23.72011184692383,-47.541748046875,2
2017-11-27 14:36:02.554 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.5741834167,-0.4312744140625,-0.1928253173828125,-0.8387603759765625,225873.5561474167,0.1331697724127583,0.05589841970021817,0.0259935175036094,225873.5691474167,1.792056137341239,-0.4748734406833737,0.1788269990132204,0.1125953644514084,0.02180317044258118,0.04535771161317825,0.02527958154678345,-0.008770108222961426,0.02878892421722412,XArbitraryCorrectedZVertical,0.2371962368488312,-0.07855874300003052,0.7427484393119812,0.6209503412246704,-0.4499164223670959,-0.1778753995895386,-0.8751329183578491,-29.28122520446777,-23.87960815429688,-47.311767578125,2
2017-11-27 14:36:02.584 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.6042434167,-0.4541473388671875,-0.1872406005859375,-0.824249267578125,225873.5911814167,-0.02546195055002958,0.01801229003275093,0.05274869907898146,225873.5691474167,1.792056137341239,-0.4748734406833737,0.1788269990132204,0.1125953644514084,0.02180317044258118,0.04535771161317825,0.02527958154678345,-0.008770108222961426,0.02878892421722412,XArbitraryCorrectedZVertical,0.2371962368488312,-0.07855874300003052,0.7427484393119812,0.6209503412246704,-0.4499164223670959,-0.1778753995895386,-0.8751329183578491,-29.28122520446777,-23.87960815429688,-47.311767578125,2
2017-11-27 14:36:02.614 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.6343024167,-0.4645538330078125,-0.1822357177734375,-0.8449554443359375,225873.6262764167,-0.1365634385898462,0.06287723333677081,0.016770990648665,225873.6042434167,1.794253304810264,-0.4750369597449312,0.1787429225664194,-0.04417861998081207,0.04125183075666428,0.04676180332899094,-0.003379076719284058,-0.009661555290222168,0.0505182147026062,XArbitraryCorrectedZVertical,0.2373184859752655,-0.07838121801614761,0.7434197068214417,0.6201222538948059,-0.4500663578510284,-0.1777926683425903,-0.8750726580619812,-29.47134971618652,-24.13898277282715,-47.17449951171875,2
2017-11-27 14:36:02.660 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.6643624167,-0.47357177734375,-0.16845703125,-0.8648223876953125,225873.6613104167,-0.1431273317285645,0.03963183176201418,-0.03658224599776445,225873.6392774167,1.793520478432196,-0.4729085691360836,0.1749661551983268,-0.1278965026140213,0.0478518083691597,0.01864316128194332,-0.01546826958656311,-0.008237183094024658,0.0321229100227356,XArbitraryCorrectedZVertical,0.2353876978158951,-0.07926124334335327,0.7438464164733887,0.6202346086502075,-0.4485057294368744,-0.1740748137235641,-0.8766205906867981,-29.45590591430664,-23.84915733337402,-47.40884399414062,2
2017-11-27 14:36:02.674 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.6944224167,-0.466033935546875,-0.16912841796875,-0.87811279296875,225873.6613104167,-0.1431273317285645,0.03963183176201418,-0.03658224599776445,225873.6743724167,1.790915369759329,-0.4711809793542062,0.1712037856297912,-0.1278088688850403,0.02884741127490997,-0.04627646133303642,-0.02477625012397766,0.001804828643798828,0.007549405097961426,XArbitraryCorrectedZVertical,0.2335326373577118,-0.08047740906476974,0.7436378598213196,0.6210283041000366,-0.4472849071025848,-0.1703686565160751,-0.8779717683792114,-29.35651588439941,-23.39084434509277,-47.31787109375,2
2017-11-27 14:36:02.704 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.7244824167,-0.45623779296875,-0.1719512939453125,-0.8830108642578125,225873.6964064167,-0.1002789340019526,0.01621785209025554,-0.05179954846647721,225873.7094064167,1.787738391495312,-0.4702266333358426,0.1687931416210751,-0.06305123120546341,-0.01374687999486923,-0.04092850908637047,-0.01480931043624878,-0.003409206867218018,-0.00202101469039917,XArbitraryCorrectedZVertical,0.2323370277881622,-0.0814768373966217,0.7430146932601929,0.6220914125442505,-0.4466317296028137,-0.1679927706718445,-0.8787620663642883,-29.12926292419434,-23.70658683776855,-47.72427368164062,2
2017-11-27 14:36:02.737 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.7545424167,-0.456573486328125,-0.1719970703125,-0.8820953369140625,225873.7314704167,-0.05402914693109155,0.007574829088512377,-0.01799657738231946,225873.7445324167,1.786398554148582,-0.470361669041091,0.1677468501071337,-0.03585385158658028,0.01586786657571793,-0.005255272146314383,-0.007286995649337769,-0.009903371334075928,-0.001101136207580566,XArbitraryCorrectedZVertical,0.232022687792778,-0.08207600563764572,0.7426916360855103,0.6225157976150513,-0.4468298256397247,-0.1669612526893616,-0.8788580298423767,-29.01004981994629,-23.64655303955078,-47.91818237304688,2
2017-11-27 14:36:02.764 -0800,11,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.7846014167,-0.44976806640625,-0.1689300537109375,-0.880126953125,225873.7665664167,-0.009500560872748674,0.003210973326308538,-0.004421912673967567,225873.7795664167,1.78630921251322,-0.4703206321618938,0.1674934306326923,0.007612393237650394,-0.02032330073416233,-0.0002869162708520889,-0.006647735834121704,-0.002615407109260559,-0.003211796283721924,XArbitraryCorrectedZVertical,0.2319287061691284,-0.08217083662748337,0.7426950931549072,0.6225342750549316,-0.4468129575252533,-0.1667113900184631,-0.8789140582084656,-28.9843921661377,-23.51616096496582,-47.71615600585938,2
2017-11-27 14:36:02.794 -0800,12,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.8146614167,-0.4460906982421875,-0.1796112060546875,-0.8607330322265625,225873.8016004167,-0.002599245223917337,0.001029045445206618,0.02441532824162844,225873.7795664167,1.78630921251322,-0.4703206321618938,0.1674934306326923,0.007612393237650394,-0.02032330073416233,-0.0002869162708520889,-0.006647735834121704,-0.002615407109260559,-0.003211796283721924,XArbitraryCorrectedZVertical,0.2319287061691284,-0.08217083662748337,0.7426950931549072,0.6225342750549316,-0.4468129575252533,-0.1667113900184631,-0.8789140582084656,-28.9843921661377,-23.51616096496582,-47.71615600585938,2
2017-11-27 14:36:02.824 -0800,13,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.8447214167,-0.4545745849609375,-0.1682891845703125,-0.8706207275390625,225873.8366954167,-0.03374677838515708,-0.03603816218706126,0.02481373714070429,225873.8146614167,1.787176359552072,-0.4711933204914439,0.1674749574826614,0.003791686147451401,0.006152951158583164,0.03905690088868141,0.00161251425743103,-0.01262810826301575,0.01788496971130371,XArbitraryCorrectedZVertical,0.2322830706834793,-0.08234895020723343,0.7428655624389648,0.6221752762794495,-0.4475811421871185,-0.1666931658983231,-0.8785264492034912,-29.22846603393555,-23.59521675109863,-47.832763671875,2
2017-11-27 14:36:02.854 -0800,14,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.8747814167,-0.4506378173828125,-0.17138671875,-0.86614990234375,225873.8717604167,-0.05115000347660689,0.001179247730687087,-0.00306955947242533,225873.8496954167,1.7880332827587,-0.47224973478436,0.1664581939090093,-0.02166036330163479,-0.03834152221679688,0.01933322474360466,-0.005714118480682373,-0.00288856029510498,0.00729292631149292,XArbitraryCorrectedZVertical,0.2324101775884628,-0.08296829462051392,0.7431156039237976,0.6217468976974487,-0.4485858082771301,-0.165690541267395,-0.8782035708427429,-29.10969543457031,-23.3782787322998,-47.90057373046875,2
2017-11-27 14:36:02.904 -0800,15,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.9048414167,-0.44244384765625,-0.1743621826171875,-0.870269775390625,225873.8717604167,-0.05115000347660689,0.001179247730687087,-0.00306955947242533,225873.8847914167,1.787681481174896,-0.4727081994055942,0.1654156246038218,-0.0435326024889946,-0.007485564332455397,-0.0001387959346175194,-0.0003197789192199707,-0.009028494358062744,0.01204699277877808,XArbitraryCorrectedZVertical,0.2322574555873871,-0.08355189114809036,0.743061900138855,0.6217900514602661,-0.4490667879581451,-0.1646623015403748,-0.8781511187553406,-29.07884407043457,-23.69024085998535,-47.71795654296875,2
2017-11-27 14:36:02.914 -0800,16,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.9349014167,-0.4395599365234375,-0.1644287109375,-0.8722991943359375,225873.9068554167,-0.07912944020508837,-0.003020024676149856,0.008101868668239058,225873.9198554167,1.787023459773682,-0.4729145367040127,0.1634262049588102,-0.05776554346084595,-0.008522428572177887,0.0176782738417387,0.007440805435180664,-0.01039600372314453,0.01128298044204712,XArbitraryCorrectedZVertical,0.2317175716161728,-0.08445572853088379,0.7430408000946045,0.6218945980072021,-0.4493963420391083,-0.1626997143030167,-0.8783484101295471,-29.20941162109375,-23.33805274963379,-47.93020629882812,2
2017-11-27 14:36:02.945 -0800,17,C4D50155-580C-4885-BACB-A13DEF47355A,1511822160.671754,49.27720040328072,-122.9074621092278,343.0549,-1,-1,10,65,-9999,225873.9649604167,-0.4362030029296875,-0.1616668701171875,-0.8745880126953125,225873.9418894167,-0.08038991434902287,-0.01257784351233523,0.01550013017647918,225873.9549514167,1.786729466950861,-0.4734169599537188,0.161167386624623,-0.0622313991189003,-0.01913405954837799,0.02501474879682064,0.01216834783554077,-0.003515630960464478,0.004607081413269043,XArbitraryCorrectedZVertical,0.2312226444482803,-0.08551245927810669,0.7431260347366333,0.6218327879905701,-0.4500040411949158,-0.160470575094223,-0.878447413444519,-29.18766593933105,-22.93129539489746,-47.77474975585938,2
